Gold	Predicted
E1 precedes E2	E1 precedes E2
E1 precedes E2	E1 precedes E2
None	None
None	None
None	None
E1 precedes E2	E1 precedes E2
E1 precedes E2	None
E1 precedes E2	None
None	None
None	None
None	E1 precedes E2
None	None
None	None
None	None
None	None
None	None
None	None
None	None
None	None
None	None
None	None
E2 precedes E1	E1 precedes E2
None	None
None	None
None	E1 precedes E2
None	E1 precedes E2
E2 precedes E1	None
None	None
None	None
None	None
E2 precedes E1	None
E1 precedes E2	E1 precedes E2
None	None
None	None
None	None
None	None
None	None
None	None
None	None
None	E1 precedes E2
None	None
None	None
None	None
None	None
E1 precedes E2	E1 precedes E2
None	None
None	None
None	None
None	None
None	None
None	None
None	None
None	None
None	None
None	None
None	None
E1 precedes E2	E1 precedes E2
None	None
None	None
E1 precedes E2	None
E2 precedes E1	E1 precedes E2
E1 precedes E2	E1 precedes E2
None	None
None	E1 precedes E2
None	None
None	None
E1 precedes E2	None
None	None
E1 precedes E2	None
None	None
E1 precedes E2	None
E1 precedes E2	E1 precedes E2
E1 precedes E2	E1 precedes E2
None	None
None	None
None	None
None	None
None	None
None	None
E1 precedes E2	None
E1 precedes E2	None
E1 precedes E2	None
None	None
None	None
None	None
None	None
E2 precedes E1	None
None	E1 precedes E2
None	None
E1 precedes E2	E1 precedes E2
None	None
None	None
None	E1 precedes E2
E1 precedes E2	None
None	None
None	None
E1 precedes E2	E1 precedes E2
E1 precedes E2	None
None	E1 precedes E2
E1 precedes E2	None
None	None
None	None
None	None
E2 precedes E1	None
None	E1 precedes E2
E1 precedes E2	E1 precedes E2
E1 precedes E2	None
None	E1 precedes E2
E1 precedes E2	None
E1 precedes E2	None
E1 precedes E2	E1 precedes E2
None	None
None	None
None	None
None	None
None	None
None	None
None	None
E1 precedes E2	None
E1 precedes E2	None
None	None
None	E1 precedes E2
None	None
E1 precedes E2	None
E1 precedes E2	E1 precedes E2
None	None
None	None
None	None
E1 precedes E2	None
None	None
None	E1 precedes E2
None	None
None	None
E1 precedes E2	E1 precedes E2
None	None
None	E1 precedes E2
E1 precedes E2	None
None	None
None	None
None	None
None	None
None	None
E1 precedes E2	E1 precedes E2
None	None
None	None
None	None
None	None
None	None
E1 precedes E2	E1 precedes E2
E2 precedes E1	None
None	E1 precedes E2
E2 precedes E1	None
None	None
None	None
