Unnamed: 0	Gold	Predicted
0	E1 precedes E2	E1 precedes E2
1	E1 precedes E2	E1 precedes E2
2	None	E1 precedes E2
3	None	None
4	None	None
5	E1 precedes E2	None
6	E1 precedes E2	None
7	E1 precedes E2	E1 precedes E2
8	None	None
9	None	None
10	None	None
11	None	None
12	None	None
13	None	None
14	None	None
15	None	None
16	None	None
17	None	None
18	None	None
19	None	None
20	None	None
21	E2 precedes E1	None
22	None	None
23	None	None
24	None	None
25	None	None
26	E2 precedes E1	None
27	None	None
28	None	None
29	None	E1 precedes E2
30	E2 precedes E1	None
31	E1 precedes E2	None
32	None	None
33	None	None
34	None	None
35	None	None
36	None	None
37	None	None
38	None	None
39	None	None
40	None	None
41	None	None
42	None	None
43	None	E1 precedes E2
44	E1 precedes E2	E1 precedes E2
45	None	None
46	None	None
47	None	None
48	None	None
49	None	None
50	None	None
51	None	None
52	None	None
53	None	None
54	None	None
55	None	None
56	E1 precedes E2	None
57	None	None
58	None	None
59	E1 precedes E2	None
60	E2 precedes E1	E1 precedes E2
61	E1 precedes E2	None
62	None	None
63	None	None
64	None	None
65	None	E1 precedes E2
66	E1 precedes E2	E1 precedes E2
67	None	None
68	E1 precedes E2	None
69	None	None
70	E1 precedes E2	E1 precedes E2
71	E1 precedes E2	None
72	E1 precedes E2	E1 precedes E2
73	None	None
74	None	None
75	None	None
76	None	None
77	None	None
78	None	None
79	E1 precedes E2	None
80	E1 precedes E2	E1 precedes E2
81	E1 precedes E2	None
82	None	None
83	None	None
84	None	None
85	None	None
86	E2 precedes E1	E1 precedes E2
87	None	None
88	None	None
89	E1 precedes E2	None
90	None	None
91	None	None
92	None	E2 precedes E1
93	E1 precedes E2	E1 precedes E2
94	None	None
95	None	None
96	E1 precedes E2	None
97	E1 precedes E2	None
98	None	None
99	E1 precedes E2	None
100	None	None
101	None	None
102	None	None
103	E2 precedes E1	E1 precedes E2
104	None	None
105	E1 precedes E2	None
106	E1 precedes E2	E1 precedes E2
107	None	None
108	E1 precedes E2	None
109	E1 precedes E2	None
110	E1 precedes E2	None
111	None	None
112	None	E1 precedes E2
113	None	None
114	None	None
115	None	None
116	None	None
117	None	None
118	E1 precedes E2	None
119	E1 precedes E2	None
120	None	None
121	None	E1 precedes E2
122	None	None
123	E1 precedes E2	None
124	E1 precedes E2	E1 precedes E2
125	None	E1 precedes E2
126	None	None
127	None	None
128	E1 precedes E2	None
129	None	None
130	None	None
131	None	None
132	None	None
133	E1 precedes E2	E1 precedes E2
134	None	None
135	None	None
136	E1 precedes E2	None
137	None	None
138	None	None
139	None	None
140	None	None
141	None	None
142	E1 precedes E2	E1 precedes E2
143	None	None
144	None	None
145	None	None
146	None	None
147	None	None
148	E1 precedes E2	E2 precedes E1
149	E2 precedes E1	None
150	None	None
151	E2 precedes E1	None
152	None	None
153	None	E1 precedes E2
154	E1 precedes E2	E1 precedes E2
155	None	None
156	None	None
157	None	None
158	None	None
159	E1 precedes E2	None
160	None	None
161	None	E1 precedes E2
162	None	None
163	None	None
164	None	E1 precedes E2
165	None	None
166	None	None
167	None	None
168	E1 precedes E2	E1 precedes E2
169	None	None
170	E1 precedes E2	E1 precedes E2
171	None	None
172	None	None
173	E1 precedes E2	None
174	None	None
175	None	None
176	None	None
177	None	E2 precedes E1
178	None	E1 precedes E2
179	None	None
180	None	None
181	None	None
182	None	None
183	E2 precedes E1	None
184	E1 precedes E2	None
185	None	None
186	None	None
187	E1 precedes E2	E1 precedes E2
188	E1 precedes E2	None
189	None	None
190	None	None
191	E1 precedes E2	None
192	E1 precedes E2	E1 precedes E2
193	None	None
194	None	None
195	E1 precedes E2	None
196	None	None
197	None	None
198	None	None
199	None	None
200	None	None
202	None	None
203	None	None
204	None	None
205	None	None
206	None	None
207	None	None
208	None	E1 precedes E2
209	None	None
210	None	None
211	None	None
212	None	None
213	E1 precedes E2	E1 precedes E2
215	None	None
216	None	None
217	None	None
218	None	None
219	E1 precedes E2	E1 precedes E2
220	E2 precedes E1	None
221	None	None
222	None	None
223	None	None
224	None	None
225	E1 precedes E2	None
226	None	None
227	E2 precedes E1	None
228	None	None
229	None	None
230	E1 precedes E2	None
231	E2 precedes E1	None
232	None	None
233	None	None
234	None	None
235	None	E1 precedes E2
236	E1 precedes E2	E1 precedes E2
237	E1 precedes E2	None
238	E1 precedes E2	None
239	None	None
240	None	None
241	None	None
242	None	None
243	None	None
244	None	None
245	None	None
246	E1 precedes E2	None
247	E1 precedes E2	None
248	None	E1 precedes E2
249	None	None
250	None	None
251	None	None
252	None	None
253	None	None
254	None	None
255	None	None
256	E1 precedes E2	None
257	None	None
258	None	None
259	None	None
260	None	None
261	None	None
262	E1 precedes E2	None
263	E1 precedes E2	None
264	None	None
265	None	None
266	None	None
267	E1 precedes E2	E1 precedes E2
268	None	None
269	None	None
270	None	E1 precedes E2
271	None	None
272	None	None
273	E1 precedes E2	E1 precedes E2
274	None	None
275	E1 precedes E2	None
276	None	None
277	None	None
278	E1 precedes E2	E1 precedes E2
279	None	None
280	None	E1 precedes E2
281	None	None
282	None	None
283	None	E1 precedes E2
284	None	None
285	None	None
286	None	None
287	None	None
288	None	None
289	E1 precedes E2	None
290	None	None
291	E1 precedes E2	None
292	None	None
293	E2 precedes E1	E1 precedes E2
294	E1 precedes E2	None
295	None	None
296	None	None
297	None	None
298	None	None
299	None	None
300	None	None
301	None	None
302	E1 precedes E2	E1 precedes E2
303	None	None
304	None	None
305	E1 precedes E2	None
306	None	None
307	E1 precedes E2	None
308	None	None
309	None	None
310	E1 precedes E2	None
311	None	None
312	E1 precedes E2	None
313	E1 precedes E2	None
314	None	None
315	E1 precedes E2	None
316	None	None
317	None	E1 precedes E2
318	None	None
319	None	None
320	None	E1 precedes E2
321	E1 precedes E2	E1 precedes E2
322	None	None
323	None	None
324	None	E1 precedes E2
325	None	None
326	E2 precedes E1	None
327	E1 precedes E2	None
328	None	None
329	None	E1 precedes E2
330	E1 precedes E2	None
332	None	None
333	E1 precedes E2	E1 precedes E2
334	None	None
335	None	E1 precedes E2
336	None	None
337	E1 precedes E2	E1 precedes E2
338	E2 precedes E1	None
339	None	None
340	None	None
341	None	None
342	E1 precedes E2	None
343	E2 precedes E1	None
344	None	None
345	None	None
346	None	None
347	None	None
348	E1 precedes E2	None
349	None	None
350	E1 precedes E2	None
351	None	None
